date,category,ad,loc,floor,age,rooms,gross,price
10-10-2024,Daire,Buca Fırat Mah. 3+1 125 M2 Açık Mutfak Doğalgazlı Kiralık Daire,İzmir / Buca / Fırat Mah.,Ara Kat,15 Yaşında,3 + 1,130 m²,19.000
05-10-2024,Daire,Hasanağa Meydan Civarı 2+1 Kapalı Mutfaklı Asansörlü Doğalgazlı Kendine Ait Bahçeli Lüks Kiralık,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,3 Yaşında,2 + 1,100 m²,18.000
10-10-2024,Daire,Buca Otoban Batı Çıkışı Arakat Kiralık 1+1 Daire,İzmir / Buca / Buca Koop. Mah.,3. Kat,5 Yaşında,1 + 1,55 m²,16.000
08-10-2024,Daire,Aktifler'Den Buca Adatepe'De 1+1 Eşyalı Kiralık Yeni Daire,İzmir / Buca / Adatepe Mah.,2. Kat,6 Yaşında,1 + 1,55 m²,16.000
09-10-2024,Daire,Buca İnönü Mh. 2+1 100m2 Arakat D.Gazlı Klasik Daire,İzmir / Buca / Göksu Mah.,3. Kat,19 Yaşında,2 + 1,100 m²,13.000
10-10-2024,Daire,Goldıa Yapıdan Arakat Hasanağa Yakını 1+1 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,3. Kat,4 Yaşında,1 + 1,55 m²,16.000
11-10-2024,Daire,Buca Yıldız Kiralık Eşyalı 1+1,İzmir / Buca / Yıldız Mah.,4. Kat,5 Yaşında,1 + 1,50 m²,14.000
11-10-2024,Daire,Era Niva'Dan Adatepe'De Kiralık 3+1 Daire,İzmir / Buca / Adatepe Mah.,Zemin,5 Yaşında,3 + 1,143 m²,20.000
10-10-2024,Daire,Myway Residance Kiralık Eşyalı Loft 1+1 Daire,İzmir / Buca / Buca Koop. Mah.,5. Kat,4 Yaşında,1 + 1,80 m²,25.000
10-10-2024,Daire,Kozağaç Merkezde 3+1 Çift Cephe 150 M2 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,2. Kat,8 Yaşında,3 + 1,150 m²,25.000
05-10-2024,Daire,Çamlıpınar'Da Sahibinden Kiralık Daire (Doğal Gazlı),İzmir / Buca / Çamlıpınar Mah.,Ara Kat,29 Yaşında,3 + 1,130 m²,16.000
06-10-2024,Daire,Garanti'Den Adatepede Güzel Konumda Kiralık 1+1 Daire,İzmir / Buca / Adatepe Mah.,Kot 1,4 Yaşında,1 + 1,60 m²,12.500
