date,category,ad,loc,floor,age,rooms,gross,price
10-10-2024,Daire,Er Yapı Emlak Ofisinden T.Tepe Kampüs Karşısı Eşyalı Bahçeli,İzmir / Buca / Kuruçeşme Mah.,Bahçe Katı,5 Yaşında,1 + 1,55 m²,14.000
11-10-2024,Daire,Buca-Tınaztepe'De Kiralık 1+1 Eşyalı Daire,İzmir / Buca / Adatepe Mah.,1. Kat,6 Yaşında,1 + 1,55 m²,13.000
10-10-2024,Daire,Adatepe Mh. Fakülte Yakını ''1+1' Full İkea Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,Yüksek Giriş,3 Yaşında,1 + 1,60 m²,14.150
02-10-2024,Daire,Marka'Dan Hasanağa Yakını 3+1 D.Gazlı Balkonlu Kiralık Daire,İzmir / Buca / Kozağaç Mah.,3. Kat,5 Yaşında,3 + 1,105 m²,22.000
14-09-2024,Daire,1+1 Eşyalı Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,6 Yaşında,1 + 1,50 m²,15.000
12-09-2024,Daire,Safir'Den Kapalı Mutfak Eşyalı Balkonlu 1+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,19.000
09-10-2024,Daire,Turpa Ayel Yapı Dan 1+1 Kiralık,İzmir / Buca / Çamlıkule Mah.,1. Kat,8 Yaşında,1 + 1,50 m²,16.000
09-10-2024,Daire,İzmir Buca Çaldıran Mah.//Polisokulu Arkasında Emekli Karıkocaya 1+1 Müstakil Kiralık Daire,İzmir / Buca / Çaldıran Mah.,Zemin,30 Yaşında,1 + 1,75 m²,10.000
15-09-2024,Daire,Buca Ada Emlaktan Dumlupınar Mh. 3+1 Eşyalı Kiralık Daire,İzmir / Buca / Dumlupınar Mah.,4. Kat,21 Yaşında,3 + 1,130 m²,20.000
15-08-2024,Daire,Saygın Gayrimenkul Den Doğalgazlı Asansörlü Eşyasız 1+1 Balkonlu Kiralık Daire,İzmir / Buca / Yaylacık Mah.,2. Kat,3 Yaşında,1 + 1,50 m²,13.500
08-10-2024,Daire,Buca Kozagaç Mahhalessi Cadde Üzeri 2+1 Bakımlı Kiralık Daire,İzmir / Buca / Kozağaç Mah.,1. Kat,25 Yaşında,2 + 1,100 m²,15.000
27-09-2024,Daire,Adatepede Hasanağa Bahçesine Yürüme Mesafesinde Kiralık 2+1,İzmir / Buca / Adatepe Mah.,1. Kat,5 Yaşında,2 + 1,85 m²,20.000
26-09-2024,Daire,Buca Özel Tınaztepe Hastanesine Yakın Eşyalı Kiralık 1+1 Daire,İzmir / Buca / Atatürk Mah.,Zemin,6 Yaşında,1 + 1,45 m²,13.750
25-09-2024,Daire,Goldia Hasanağa Parkı Yakını Eşyalı Kiralık 1+1,İzmir / Buca / Adatepe Mah.,2. Kat,4 Yaşında,1 + 1,60 m²,16.000
09-10-2024,Daire,Buca Hoca Ahmet Yesevi Yurdunun Yakinında Eşyalı Kiralık Daire,İzmir / Buca / Yıldız Mah.,1. Kat,10 Yaşında,1 + 1,55 m²,16.000
23-09-2024,Daire,Buca Yıldız 1+1 45 M2 Doğalgazlı Kiralık Daire,İzmir / Buca / Yıldız Mah.,Zemin,5 Yaşında,1 + 1,45 m²,12.000
23-09-2024,Daire,Eğitim Ve İktisat Fakültesine Yürüyüş Mesafesinde Heykel Meydan Üstü 1+1 78 M2 Asansörlü Lüks Sıfır,İzmir / Buca / Yaylacık Mah.,4. Kat,Sıfır Bina,1 + 1,78 m²,15.000
02-10-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını Eşyalı Klimalı Kiralık Daire,İzmir / Buca / Kozağaç Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,15.000
04-10-2024,Daire,Çamlıkule Mh. Merkezi Konumda // 2+1 // D.Gazlı Arakat Kiralık,İzmir / Buca / Çamlıkule Mah.,3. Kat,16 Yaşında,2 + 1,130 m²,16.500
10-10-2024,Daire,Şirinyer Ufuk Mahallesine Stüdyo Daire 1+0 Tuvalet Banyo,İzmir / Buca / Ufuk Mah.,Yüksek Giriş,4 Yaşında,1 + 1,55 m²,10.000
04-10-2024,Daire,Üniversite Karşısı 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,5 Yaşında,1 + 1,50 m²,22.000
03-10-2024,Daire,Buca Üçkuyular 500m Asansörlü Doğalgazlı 3+1 Dubleks,İzmir / Buca / Kozağaç Mah.,4. Kat,1 Yaşında,3 + 1,130 m²,22.000
03-10-2024,Daire,Yeşilbağlar Mah. Buca Aile Apartmanı 11bin Tl,İzmir / Buca / Yenigün Mah.,Zemin,30 Yaşında,2 + 1,100 m²,11.000
27-09-2024,Daire,Nato Kavşağında Asansörlü Otoparklı Balkonlu Doğalgazlı 2+1,İzmir / Buca / Hürriyet Mah.,Yüksek Giriş,5 Yaşında,2 + 1,85 m²,19.000
25-09-2024,Daire,Has Cetınlerden Kıralık 1+1,İzmir / Buca / Adatepe Mah.,Yüksek Giriş,5 Yaşında,1 + 1,55 m²,16.000
20-09-2024,Daire,"Sahibinden Sahibinden Full Eşyalı, Doğal Gazlı, Klimalı, 2+1 Kiralık Daire",İzmir / Buca / Adatepe Mah.,3. Kat,10 Yaşında,2 + 1,100 m²,22.000
18-09-2024,Daire,Kozağaç Pazaryerinde Mükemmel Konumda 3+1 Eşyasız Kiralık Daire,İzmir / Buca / Kozağaç Mah.,2. Kat,25 Yaşında,3 + 1,145 m²,22.000
01-10-2024,Daire,Şirinyer İzban Dibinde 2+1 Eşyalı Kiralık Daire,İzmir / Buca / Menderes Mah.,1. Kat,12 Yaşında,2 + 1,90 m²,24.000
27-09-2024,Daire,Şirinyer'De Günlük 800 1+1,İzmir / Buca / Barış Mah.,Yarı Bodrum,25 Yaşında,1 + 1,50 m²,15.000
04-09-2024,Daire,Kiralık Daire (Öğrenciye),İzmir / Buca / Adatepe Mah.,2. Kat,15 Yaşında,3 + 1,110 m²,22.000
15-08-2024,Daire,"Sahibinden, 5 Klima+doğalgaz,140 M2 3+1 Eğitim Ve Hukuk Fak.10dk",İzmir / Buca / Yaylacık Mah.,Ara Kat,18 Yaşında,3 + 1,150 m²,25.000
27-09-2024,Daire,Ay Gayrimenkul'Den Adatepe Mh. 3+1 Geniş Eyşalı Kiralık Daire!!,İzmir / Buca / Adatepe Mah.,4. Kat,11 Yaşında,3 + 1,130 m²,18.000
09-09-2024,Daire,Bucakoop Mah. 1+1 55m2 Full Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,Ara Kat,5 Yaşında,1 + 1,55 m²,21.000
03-10-2024,Daire,1+1 Ve 2+1 Lüks Apart Daireler - Konforlu Ve Lüks Günlük Evler,İzmir / Buca / Adatepe Mah.,En Üst Kat,5 Yaşında,2 + 1,80 m²,400
11-10-2024,Daire,Goldia Yapı'Dan Hasanağa Parkı Yakını Kiralık Eşyalı 1+1,İzmir / Buca / Adatepe Mah.,Ara Kat,4 Yaşında,1 + 1,55 m²,15.000
07-10-2024,Daire,Buca-İnönü Mh.De Kiralık 1+1 Yeni Daire,İzmir / Buca / İnönü Mah.,2. Kat,Sıfır Bina,1 + 1,70 m²,12.000
12-09-2024,Daire,Safir'Den Eşyalı Kiralık Kampüs Yakını 1+1 Daire,İzmir / Buca / Kuruçeşme Mah.,1. Kat,4 Yaşında,1 + 1,55 m²,15.000
20-09-2024,Daire,Buca Yiğitler Mh. 2+1 Kapalı Mutfak Doğalgazlı Kiralık Daire,İzmir / Buca / Yiğitler Mah.,2. Kat,25 Yaşında,2 + 1,95 m²,18.500
20-09-2024,Daire,Buca Mustafa Kemal Mah Kiralık Daire Reb Gayrimenkulden,İzmir / Buca / Mustafa Kemal Mah.,Yüksek Giriş,Sıfır Bina,2 + 1,110 m²,22.000
05-09-2024,Daire,Buca I Ulusalofıs Gayrımenkul 2+1 Esyali Kiralik Daıre,İzmir / Buca / Menderes Mah.,2. Kat,35 Yaşında,2 + 1,110 m²,22.000
15-09-2024,Daire,Marka'Dan Cadde Üzerinde 3+1 Arakat D.Gazlı Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,21 Yaşında,3 + 1,120 m²,20.000
27-09-2024,Daire,Barış Mah 1+1 Doğalgazlı Eşyalı Kiralık Daire,İzmir / Buca / Ufuk Mah.,Zemin,8 Yaşında,1 + 1,65 m²,18.500
11-10-2024,Daire,Sahibinden Deü Tınaztepe Kampüse Sıfır Konumda Klimalı Daire,İzmir / Buca / Atatürk Mah.,Giriş Katı,4 Yaşında,1 + 1,50 m²,14.000
16-09-2024,Daire,Sane Gayrimenkul Den Buca Adatepe De Hasanağa Parki Yakını Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,10 Yaşında,2 + 1,85 m²,21.000
07-10-2024,Daire,Buca Şirinyer'De Konak Tünel Çıkışı Sağa Dönüşde A101 Alt Tarafında 100m2 3+1 Daire,İzmir / Buca / Hürriyet Mah.,3. Kat,30 Yaşında,3 + 1,110 m²,13.000
23-09-2024,Daire,Akıncılar Mah.Hat Boyunda Full Tadilatlı Arakat3+1 Kiralık Daire,İzmir / Buca / Akıncılar Mah.,1. Kat,27 Yaşında,3 + 1,120 m²,22.500
18-09-2024,Daire,3+1 Eşyalı Kiralık Daire Hasanaga Bahçesine 800 Mtre,İzmir / Buca / Yıldız Mah.,2. Kat,4 Yaşında,3 + 1,140 m²,30.000
18-09-2024,Daire,Turyap Buca'Dan Çamlıpınar Mah.De Ara Kat Eşyalı Kiralık 2+1 Dai,İzmir / Buca / Çamlıpınar Mah.,2. Kat,13 Yaşında,2 + 1,100 m²,18.250
29-09-2024,Daire,Ref'Den Kampüs Karşısı Lüks Eşyalı Balkonlu 2+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,4 Yaşında,2 + 1,80 m²,25.000
27-09-2024,Daire,-Ay Gayrimenkul'Den- Yaylacık Mh. 4+1 Eşyalı Kiralık Daire!!,İzmir / Buca / Yaylacık Mah.,3. Kat,16 Yaşında,4 + 1,140 m²,24.950
24-08-2024,Daire,Kampüs Yakını- Havuzlu Site İçi Kiralık 1+1 70m2 Daire!!,İzmir / Buca / Kuruçeşme Mah.,3. Kat,4 Yaşında,1 + 1,70 m²,21.000
30-09-2024,Daire,Sahibinden Temmuza Kadar Kiralık Eşyalı Stüdyo Daire,İzmir / Buca / Adatepe Mah.,Bahçe Katı,5 Yaşında,1 + 1,40 m²,13.000
17-09-2024,Daire,Kuruçeme Pazar Yeri Karşısı Arakat Kombili Kiralık 2+0 Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,5 Yaşında,2 + 0,65 m²,14.000
28-09-2024,Daire,Goldia Yapı'Dan Kampüs Yakını 1+1 Eşyalı Kiralık,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,16.500
25-09-2024,Daire,Full Eşyalı / 1+0 / Klimalı - Elektrik Ve Su Kiraya Dahildir !!!,İzmir / Buca / Adatepe Mah.,2. Kat,5 Yaşında,1 + 1,30 m²,13.500
15-09-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını Eşyalı Klimalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,13.000
09-10-2024,Daire,Ev Sahibinden Kiralik 2 Oda 1 Salon Eşyalı 110m2 Daire,İzmir / Buca / Barış Mah.,3. Kat,8 Yaşında,2 + 1,115 m²,13.000
10-10-2024,Daire,Kiralık Dairemiz Öğrenciye Veya Kamu.Personeline,İzmir / Buca / Yıldız Mah.,En Üst Kat,29 Yaşında,3 + 1,130 m²,17.500
30-09-2024,Daire,Buca Dumlupınar Mah. 2+1 Eşyalı Kiralık Daire,İzmir / Buca / Dumlupınar Mah.,4. Kat,9 Yaşında,2 + 1,80 m²,20.000
03-10-2024,Daire,Doğum Hastanesi Karşısında 3+1 Kiralık Daire,İzmir / Buca / Yıldız Mah.,5. Kat,15 Yaşında,3 + 1,110 m²,23.000
10-10-2024,Daire,Sahibinden 15 Hazirana Kadar Kiralıktır,İzmir / Buca / Dicle Mah.,Teras Katı,10 Yaşında,1 + 1,122 m²,20.000
21-09-2024,Daire,Adatepede Güzel Lokasyonlu 2+1,İzmir / Buca / Adatepe Mah.,En Üst Kat,10 Yaşında,2 + 1,90 m²,11.000
07-10-2024,Daire,Atölye'Den Hasanağa Bahçesi Yakını Tadilatlı 135 M² Kiralık 3+1,İzmir / Buca / Atatürk Mah.,1. Kat,20 Yaşında,3 + 1,145 m²,18.500
14-08-2024,Daire,Hasanağa Bahçesine 50mt Geniş Ferah 1+1,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,3 Yaşında,1 + 1,60 m²,18.000
04-10-2024,Daire,Bucaparisa'Dan Kozağaç Meydan Yakını Kiralık 2+1,İzmir / Buca / Çamlıkule Mah.,3. Kat,18 Yaşında,2 + 1,100 m²,13.000
09-09-2024,Daire,Güneş'Ten 3+1 135m2 D.Gazlı Eşyalı İzbana 5dk Kiralık Daire,İzmir / Buca / Hürriyet Mah.,Yüksek Giriş,4 Yaşında,3 + 1,130 m²,27.500
20-08-2024,Daire,Ref'Den Havuzlu Sitede Lüks Dizayn D.Gazlı Klimalı Balkonlu 1+1,İzmir / Buca / Kuruçeşme Mah.,3. Kat,Sıfır Bina,1 + 1,55 m²,22.000
03-10-2024,Daire,Yenigün Bölgesinde Kiralık 3+1 Daire,İzmir / Buca / Fırat Mah.,2. Kat,Sıfır Bina,3 + 1,140 m²,35.000
07-09-2024,Daire,Mert Tekin'Den Üniversite Yakını Full Eşyalı Merkezi Konumda 1+1,İzmir / Buca / Kuruçeşme Mah.,Giriş Katı,5 Yaşında,1 + 1,55 m²,15.000
11-10-2024,Daire,Buca Çaldıran Mah.//Polisokulu Arkası Uçanyolyakını//Şirinyer İzbana 15dk Mesafede//Emekliye Daire,İzmir / Buca / Çaldıran Mah.,Zemin,30 Yaşında,2 + 1,85 m²,12.000
25-08-2024,Daire,Buca Menders Cad. Üstü Full Eşyalı Kiralık 2+1 Ara Kat Daire,İzmir / Buca / Hürriyet Mah.,Ara Kat,35 Yaşında,2 + 1,145 m²,22.000
20-09-2024,Daire,Fırat Mah. 3+1 Arakat Çift Balkonlu 150 M2 Kiralık Daire,İzmir / Buca / Fırat Mah.,2. Kat,18 Yaşında,3 + 1,150 m²,19.750
15-09-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını Doğal Gazlı Eşyalı Kiralık Dair,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,15.500
27-09-2024,Daire,Yenigün Mahallesinde Doğalgazlı Bahçeli 3+1,İzmir / Buca / Yenigün Mah.,Yüksek Giriş,16 Yaşında,3 + 1,125 m²,14.500
29-09-2024,Daire,Yesevi Yurdu Caddesinde Sıfır Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,5 Yaşında,1 + 1,55 m²,18.000
10-10-2024,Daire,Üçkuyular Meydan Hasanağa Bahçesinde ''1+1'' Dgaz-Klimalı,İzmir / Buca / Atatürk Mah.,En Üst Kat,5 Yaşında,1 + 1,60 m²,16.750
26-09-2024,Daire,Kuruçeşmede Merkezi Konum Kiralık 1+1 Eşyalı !,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,12 Yaşında,1 + 1,55 m²,15.500
09-10-2024,Daire,Turyap Bucadan H.A. Yesevi Yurdu Yakını 2+1 Eşyalı D.Gazlı Daire,İzmir / Buca / Yıldız Mah.,Yüksek Giriş,5 Yaşında,2 + 1,60 m²,21.000
01-10-2024,Daire,Otokent Yakını Eshot Genel Müdürlüğü Karşısı 150 M² Ferah Kiralık 3+1,İzmir / Buca / İnönü Mah.,3. Kat,20 Yaşında,3 + 1,150 m²,17.000
14-09-2024,Daire,Buca Menderes Mah. Belediye Yakını Eşyalı Kiralık 1+1 Daire,İzmir / Buca / Menderes Mah.,Giriş Katı,6 Yaşında,1 + 1,60 m²,15.000
03-10-2024,Daire,Parisa'Dan Tınaztepe Hast. Ve Kampüse Yakın Kiralık 3+1 Daire,İzmir / Buca / Yıldız Mah.,7. Kat,16 Yaşında,3 + 1,125 m²,19.500
07-09-2024,Daire,Güneş Emlak'Tan Efeler Mahallesi 3+1 125m2 D.Gazlı Kiralık Daire,İzmir / Buca / Vali Rahmi Bey Mah.,5. Kat,25 Yaşında,3 + 1,125 m²,19.000
29-08-2024,Daire,Ref’Den Mükemmel Konum D.Gaz+balkon+ebeveyn Banyolu Kiralık 3+1,İzmir / Buca / Kuruçeşme Mah.,2. Kat,5 Yaşında,3 + 1,120 m²,21.500
04-09-2024,Daire,İzmir Buca Menderes Mahallesinde Öğrenciye Kiralık 3+1 Daire,İzmir / Buca / Menderes Mah.,1. Kat,27 Yaşında,3 + 1,140 m²,25.000
07-10-2024,Daire,Buca Çevikbir'De Hastane Yanı Merkezi Konum 3+1 D.Gazlı 120m2 Kiralık Daire,İzmir / Buca / Vali Rahmi Bey Mah.,Yüksek Giriş,15 Yaşında,3 + 1,130 m²,18.000
20-08-2024,Daire,İzmir Buca Akıncılar Mah. De 1+ 1 Kiralık Daire,İzmir / Buca / Akıncılar Mah.,1. Kat,2 Yaşında,1 + 1,55 m²,17.000
14-08-2024,Daire,Meydan Yakını Arakat Doğalgazlı Sıfır Otomatik Panjurlu 1+1,İzmir / Buca / Kozağaç Mah.,1. Kat,Sıfır Bina,1 + 1,56 m²,13.500
15-09-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını Klimalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,Zemin,4 Yaşında,1 + 1,55 m²,12.000
03-09-2024,Daire,Buca Atatürk Mahallesinde Kiralık Çift Banyolu Arakat Daire,İzmir / Buca / Atatürk Mah.,2. Kat,20 Yaşında,3 + 1,130 m²,16.000
28-09-2024,Daire,Hasanağa Bahçesi Üniversite Arkası Eşyaşı Geniş Balkonlu Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,8 Yaşında,11 + 18,60 m²,18.000
13-09-2024,Daire,İzmir Buca Kuruçeşme Mh Kiralık 2+1 Açık Mutfaklı Daire 9 Eylül Ve Tınaztepenin Karşısında,İzmir / Buca / Adatepe Mah.,2. Kat,4 Yaşında,2 + 1,75 m²,18.000
27-09-2024,Daire,Kampüs Karşısı Geniş Balkonlu Full Eşyalı Lüx Daire!!!,İzmir / Buca / Kuruçeşme Mah.,4. Kat,4 Yaşında,1 + 1,50 m²,18.500
24-09-2024,Daire,Turyap Buca'Dan Öğrenciye Memura Uygun 1+1 Eşyalı Daire,İzmir / Buca / Atatürk Mah.,3. Kat,17 Yaşında,1 + 1,45 m²,14.000
02-09-2024,Daire,Kozağaç Meydan Yakını Doğalgazlı Teras Katı 2+1 Daire,İzmir / Buca / Kozağaç Mah.,4. Kat,20 Yaşında,2 + 1,110 m²,15.000
03-10-2024,Daire,Parisadan Havuzlu Site İçinde Eşyalı Kiralık 1+1,İzmir / Buca / Atatürk Mah.,Giriş Katı,5 Yaşında,1 + 1,55 m²,16.500
12-09-2024,Daire,Safir'Den Kozağaç Mahallesinde 3+1 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,3. Kat,5 Yaşında,3 + 1,120 m²,25.000
07-09-2024,Daire,Güneş Emlak'Tan 3+1 Ara Kat Full Eşyalı İzban'A Yürüme Mesafesinde Kiralık Daire,İzmir / Buca / Efeler Mah.,2. Kat,15 Yaşında,3 + 1,125 m²,25.000
16-08-2024,Daire,Yenigün Mah. Site İçi 4+1 285m2 Teraslı Havuzlu Ultra Lüks Daire,İzmir / Buca / Yenigün Mah.,8. Kat,5 Yaşında,4 + 1,285 m²,50.000
07-10-2024,Daire,Buca Adatepe Kiralık Daire 1+1 Eşyasız Doğalgazlı,İzmir / Buca / Yaylacık Mah.,Kot 1,4 Yaşında,1 + 1,55 m²,12.000
05-10-2024,Daire,Üçkuyular Meydan Ve Fakülteler Yakını '2+1' Arakat-Dgazlı Daire,İzmir / Buca / Atatürk Mah.,2. Kat,15 Yaşında,2 + 1,75 m²,15.000
23-09-2024,Daire,Baris Mah 3+1 Kiralik Daire,İzmir / Buca / Barış Mah.,3. Kat,25 Yaşında,3 + 1,130 m²,23.000
01-10-2024,Daire,Atölye'Den Adatepe Mahallesi Üniversite Yakını Ful Eşyalı Kiralık 2+1 Daire,İzmir / Buca / Adatepe Mah.,3. Kat,8 Yaşında,2 + 1,78 m²,25.000
03-10-2024,Daire,Arga'Dan Buca Çevik Bir'De Zemin Kat 2+1 Kiralık Daire.,İzmir / Buca / Yenigün Mah.,Yüksek Giriş,25 Yaşında,3 + 1,100 m²,13.500
15-09-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını D.Gazlı 3+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,9. Kat,21 Yaşında,3 + 1,120 m²,27.000
30-09-2024,Daire,Kuruçeşme Mah. Havuzlu Site İçinde Full Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,3. Kat,1 Yaşında,1 + 1,55 m²,23.000
25-09-2024,Daire,Hasanağa 300 Mtre Sıfır Esyalı 1+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,Sıfır Bina,1 + 1,50 m²,18.000
13-09-2024,Daire,Üniversite Yakını Ara Kat Asansörlü Doğalgaz Klima Eşyalı 1+1,İzmir / Buca / Yaylacık Mah.,1. Kat,1 Yaşında,1 + 1,50 m²,16.000
15-09-2024,Daire,Buca Ada Emlaktan Yaylacık Mh. 3+1 Site İçersinde Kiralık Daire,İzmir / Buca / Yaylacık Mah.,7. Kat,21 Yaşında,3 + 1,160 m²,17.000
25-09-2024,Daire,Buca Göksu Mahalesinde 2+1kiralık Daire,İzmir / Buca / Göksu Mah.,Çatı Katı,20 Yaşında,2 + 1,100 m²,10.000
12-09-2024,Daire,Safir'Den Doğalgazlı Klimalı 3+1 Eşyalı Daire,İzmir / Buca / Atatürk Mah.,2. Kat,2 Yaşında,3 + 1,110 m²,30.000
07-09-2024,Daire,Güneş Emlak'Tan 1+1 Asansörlü Otoparklı Sıfır Lüks Kiralık Daire,İzmir / Buca / İnkılap Mah.,Yüksek Giriş,Sıfır Bina,1 + 1,45 m²,15.000
09-10-2024,Daire,Turyap Buca'Dan Üniversite Yakını Full Eşyalı D.Gazlı 1+1 Daire,İzmir / Buca / Yıldız Mah.,2. Kat,7 Yaşında,1 + 1,50 m²,16.000
03-10-2024,Daire,Barış Mah Ecevit Parki Yaninda 3+1 Kiralik Daire,İzmir / Buca / Barış Mah.,2. Kat,25 Yaşında,3 + 1,130 m²,18.000
05-09-2024,Daire,Yenigün Mahallesi'Nde 3+1 Doğalgazlı Daire,İzmir / Buca / Yenigün Mah.,4. Kat,20 Yaşında,3 + 1,135 m²,20.000
07-10-2024,Daire,Okan Emlaktan Buca Hasanağa Bahçesi Yakını 1+1 Daire,İzmir / Buca / Adatepe Mah.,3. Kat,8 Yaşında,1 + 1,55 m²,15.500
05-10-2024,Daire,D.Gazlı Geniş 4+1 Öğrenciye Memura Kiralık Ev,İzmir / Buca / Yaylacık Mah.,Ara Kat,18 Yaşında,4 + 1,130 m²,22.000
03-09-2024,Daire,Buca - İnönü' De Kiralık Lüx Daire,İzmir / Buca / İnönü Mah.,2. Kat,Sıfır Bina,2 + 1,100 m²,20.000
31-08-2024,Daire,Menderes Cad. Bitişiği Merkezi Konumda 3+1 Ara Kat Kiralık Daire,İzmir / Buca / Güven Mah.,2. Kat,30 Yaşında,3 + 1,135 m²,20.000
21-08-2024,Daire,Özel Tınaztepe Hastane Karşısı Lüx Yapılı Geniş 3+1 Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,7 Yaşında,3 + 1,165 m²,20.000
07-09-2024,Daire,Kuruçeşme Meydanda Ara Kat+doğalgaz+balkon+çift Cepheli+ebeveyn Kiralık 3+1,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,5 Yaşında,3 + 1,125 m²,21.000
22-09-2024,Daire,Açıklamayı Okuyun Atatürk Mah Site İçerisinde Full Eşyalı Ultra Lüx Daire,İzmir / Buca / Atatürk Mah.,6. Kat,5 Yaşında,1 + 1,65 m²,17.000
02-10-2024,Daire,Marka'Dan Merkezi Konumda Klimalı Balkonlu Kiralık Daire,İzmir / Buca / Atatürk Mah.,1. Kat,4 Yaşında,1 + 1,55 m²,15.000
01-10-2024,Daire,Buca Kuruçeşme Üniversite Karşısı Kiralık Eşyalı Daire,İzmir / Buca / Kuruçeşme Mah.,1. Kat,7 Yaşında,2 + 0,55 m²,18.000
05-10-2024,Daire,Buca Yeşilbağlar Mah.'De 2+1 Ara Kat Bakımlı Kiralık Daire,İzmir / Buca / Yeşilbağlar Mah.,3. Kat,21 Yaşında,2 + 1,110 m²,14.000
13-08-2024,Daire,Ata Emlktan Şirinyer Merkezde Çift Cepheli 3+1 Doğalgazlı Daire.,İzmir / Buca / Hürriyet Mah.,4. Kat,40 Yaşında,3 + 1,140 m²,17.500
25-09-2024,Daire,Şirinyer Namıkkemal Caddesinde 3+1 Arakat Daire.İzbana Yürüme Mesafesinde,İzmir / Buca / Hürriyet Mah.,Ara Kat,26 Yaşında,3 + 1,118 m²,15.000
14-08-2024,Daire,Geniş Arakat Doğalgazlı Yeni Bina Lüx 1+1,İzmir / Buca / Kozağaç Mah.,1. Kat,4 Yaşında,1 + 1,58 m²,16.000
03-10-2024,Daire,Kız Öğrenciye Yada Aileye Full Eşyalı D.Gazlı Kiralık Daire,İzmir / Buca / Atatürk Mah.,3. Kat,15 Yaşında,3 + 1,120 m²,25.000
18-09-2024,Daire,Buca Üçkuyular Meydan Mewkii 2+1 Eşyalı Klimalı Lüx Kiralık Daire Esnafoğlu'Ndan...,İzmir / Buca / Atatürk Mah.,3. Kat,4 Yaşında,2 + 1,80 m²,24.000
29-09-2024,Daire,Adatepe De Kiralık Eşyalı Daire,İzmir / Buca / Adatepe Mah.,2. Kat,8 Yaşında,1 + 1,55 m²,16.000
12-09-2024,Daire,Safir'Den Yıldız Mahallesinde Eşyalı Doğalgazlı 2+1 Kiralık,İzmir / Buca / Yıldız Mah.,Giriş Katı,11 Yaşında,2 + 1,80 m²,25.000
02-10-2024,Daire,Marka'Dan Kampüs Yakını Eşyalı 2+0 Klimalı D.Gazlı Kiralık Daire,İzmir / Buca / Adatepe Mah.,4. Kat,4 Yaşında,2 + 0,70 m²,16.500
28-09-2024,Daire,Atölye'Den Yaylacık Mah.Doğalgazlı Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Yaylacık Mah.,3. Kat,5 Yaşında,1 + 1,53 m²,15.000
02-10-2024,Daire,Hasanağa Parki Yaninda 3+1 Kiralik Daire,İzmir / Buca / Adatepe Mah.,Giriş Katı,30 Yaşında,3 + 1,130 m²,17.000
10-09-2024,Daire,Hasanağa Meydana Birkaç Sokak 2+1 Asansörlü Otoparklı Dgaz Kombili Ankastreli Eşyalı Lüks Daire,İzmir / Buca / Kozağaç Mah.,4. Kat,4 Yaşında,2 + 1,80 m²,20.000
27-09-2024,Daire,Buca Dumlupınar Çevikbir Üçkuyular Meydanda 2+1 Full Eşyalı Kiralık Daire,İzmir / Buca / Dumlupınar Mah.,3. Kat,2 Yaşında,2 + 1,100 m²,30.000
05-09-2024,Daire,Barış Mh 1+1 Doğalgazl Asansörlü Balkonlu Kiralık Sıfır Daireler,İzmir / Buca / Barış Mah.,3. Kat,Sıfır Bina,1 + 1,55 m²,20.000
27-09-2024,Daire,-Ay Gayrimenkul'Den- İnönü Mh. 2+1 Uygun Kiralık Daire!,İzmir / Buca / İnönü Mah.,4. Kat,11 Yaşında,2 + 1,100 m²,12.450
