category,room,floor,gross,updated,price,location
Daire,3+1,Düz Giriş (Zemin),140 m²,9 Ekim,22.000 TL,İzmir - Menemen - İstiklal Mh.
Daire,3+1,1. Kat,125 m²,9 Ekim,23.000 TL,İzmir - Çiğli - Ataşehir Mh.
Daire,1 Oda,Düz Giriş (Zemin),26 m²,1 Ekim,7.000 TL,İzmir - Konak - Mecidiye Mh.
Daire,2+1,1. Kat,90 m²,28 Eylül,20.000 TL,İzmir - Buca - Barış Mh.
Daire,3+1,1. Kat,98 m²,30 Eylül,15.000 TL,İzmir - Bornova - Barbaros Mh.
Daire,1+1,1. Kat,85 m²,30 Eylül,12.500 TL,İzmir - Bayraklı - Fuat Edip Baksı Mh.
Daire,2+1,Yüksek giriş,110 m²,28 Eylül,15.000 TL,İzmir - Torbalı - Yedi Eylül Mh.
Daire,3+1,2. Kat,140 m²,9 Ekim,18.000 TL,İzmir - Bayraklı - Postacılar Mh.
Daire,2+1,Düz Giriş (Zemin),100 m²,28 Eylül,18.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,1+1,2. Kat,55 m²,28 Eylül,17.000 TL,İzmir - Buca - Atatürk Mh.
Müstakil Ev,2+1,,120 m²,9 Ekim,20.000 TL,İzmir - Bornova - Yıldırım Beyazıt Mh.
Daire,3+1,4. Kat,120 m²,9 Ekim,20.000 TL,İzmir - Bornova - Yıldırım Beyazıt Mh.
Daire,3+1,3. Kat,120 m²,8 Ekim,20.000 TL,İzmir - Bornova - Naldöken Mh.
Daire,2+1,4. Kat,85 m²,5 Ekim,22.000 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,2+1,Kot 2 (-2). Kat,95 m²,28 Eylül,22.000 TL,İzmir - Karabağlar - Refet Bele Mh.
Daire,3+1,5. Kat,130 m²,28 Eylül,35.000 TL,İzmir - Konak - Çankaya Mh.
Villa,3+1,,135 m²,28 Eylül,30.000 TL,İzmir - Çeşme - Alaçatı Mh.
Daire,3+1,5. Kat,130 m²,7 Ekim,12.000 TL,İzmir - Bergama - Maltepe Mh.
Daire,2+1,Düz Giriş (Zemin),90 m²,8 Ekim,22.000 TL,İzmir - Aliağa - Yeni Mh.
Daire,2+1,1. Kat,95 m²,28 Eylül,18.000 TL,İzmir - Menemen - Uğur Mumcu Mh.
Daire,2+0,Kot 2 (-2). Kat,65 m²,28 Eylül,12.500 TL,İzmir - Buca - Ufuk Mh.
Daire,2+1,3. Kat,90 m²,8 Ekim,25.000 TL,İzmir - Aliağa - Yeni Mh.
Daire,2+1,4. Kat,120 m²,7 Ekim,17.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,1+1,2. Kat,50 m²,7 Ekim,13.000 TL,İzmir - Buca - Yıldız Mh.
Daire,3+1,4. Kat,155 m²,9 Ekim,28.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,3+1,2. Kat,120 m²,5 Ekim,14.000 TL,İzmir - Karabağlar - Sarıyer Mh.
Villa,7+1,,2500 m²,3 Ekim,200.000 TL,İzmir - Urla - Yenice Mh.
Daire,3+1,4. Kat,150 m²,3 Ekim,20.000 TL,İzmir - Torbalı - Atatürk Mh.
Daire,2+1,2. Kat,95 m²,28 Eylül,26.500 TL,İzmir - Karşıyaka - Şemikler Mh.
Daire,2+1,1. Kat,110 m²,9 Ekim,15.000 TL,İzmir - Karabağlar - Barış Mh.
Daire,3+1,3. Kat,125 m²,6 Ekim,25.000 TL,İzmir - Balçova - Teleferik Mh.
Daire,2+1,6. Kat,110 m²,2 Ekim,20.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,2+1,Bahçe katı,80 m²,28 Eylül,15.000 TL,İzmir - Buca - Göksu Mh.
Daire,2+1,Kot 3 (-3). Kat,110 m²,28 Eylül,22.500 TL,İzmir - Çiğli - Balatçık Mh.
Daire,3+1,4. Kat,120 m²,28 Eylül,25.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,3+1,1. Kat,125 m²,30 Eylül,20.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,3+1,8. Kat,147 m²,28 Eylül,45.000 TL,İzmir - Buca - Aydoğdu Mh.
Daire,2+1,1. Kat,110 m²,28 Eylül,18.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,2+1,Düz Giriş (Zemin),65 m²,27 Eylül,16.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,Yüksek giriş,110 m²,27 Eylül,25.000 TL,İzmir - Konak - Güzelyalı Mh.
Daire,2+1,5. Kat,112 m²,27 Eylül,16.000 TL,İzmir - Bornova - Yeşilova Mh.
Villa,3+1,,160 m²,4 Ekim,42.500 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,2+1,5. Kat,112 m²,27 Eylül,15.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,2+1,3. Kat,100 m²,27 Eylül,19.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,2+1,3. Kat,110 m²,28 Eylül,13.000 TL,İzmir - Buca - Fırat Mh.
Daire,3+1,2. Kat,160 m²,27 Eylül,20.500 TL,İzmir - Menemen - Cumhuriyet Mh.
Daire,1+1,3. Kat,60 m²,2 Ekim,20.000 TL,İzmir - Buca - Vali Rahmi Bey Mh.
Daire,1+1,Yüksek giriş,50 m²,27 Eylül,13.500 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,2+0,Yüksek giriş,45 m²,2 Ekim,8.000 TL,İzmir - Karabağlar - Karabağlar Mh.
Daire,3+1,2. Kat,130 m²,27 Eylül,20.000 TL,İzmir - Bergama - Fatih Mh.
Daire,2+1,2. Kat,125 m²,7 Ekim,25.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,1+1,2. Kat,55 m²,30 Eylül,12.000 TL,İzmir - Menemen - İnönü Mh.
Daire,2+1,1. Kat,130 m²,9 Ekim,19.000 TL,İzmir - Karabağlar - Selvili Mh.
Daire,3+1,2. Kat,120 m²,1 Ekim,20.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,3+1,5. Kat,155 m²,27 Eylül,25.000 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,2. Kat,85 m²,3 Ekim,19.500 TL,İzmir - Bornova - Evka 4 Mh.
Daire,3+1,3. Kat,140 m²,8 Ekim,26.000 TL,İzmir - Torbalı - Torbalı Mh.
Daire,1+1,3. Kat,60 m²,27 Eylül,20.000 TL,İzmir - Torbalı - Tepeköy Mh.
Daire,2+1,3. Kat,90 m²,27 Eylül,15.000 TL,İzmir - Bayraklı - Emek Mh.
Daire,2+1,3. Kat,95 m²,2 Ekim,16.500 TL,İzmir - Bergama - Gaziosmanpaşa Mh.
Daire,5+1,3. Kat,270 m²,2 Ekim,27.500 TL,İzmir - Bergama - Turabey Mh.
Daire,3+1,3. Kat,155 m²,2 Ekim,15.000 TL,İzmir - Bergama - Fatih Mh.
Daire,3+1,1. Kat,130 m²,9 Ekim,16.500 TL,İzmir - Bornova - Doğanlar Mh.
Daire,3+1,Bodrum Kat,120 m²,9 Ekim,16.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,2. Kat,115 m²,9 Ekim,13.000 TL,İzmir - Bornova - Ergene Mh.
Daire,2+1,Bahçe katı,90 m²,1 Ekim,16.000 TL,İzmir - Bornova - Yıldırım Beyazıt Mh.
Daire,2+1,Yüksek giriş,90 m²,9 Ekim,12.500 TL,İzmir - Bornova - Doğanlar Mh.
Daire,3+1,4. Kat,140 m²,6 Ekim,28.000 TL,İzmir - Narlıdere - Ilıca Mh.
Daire,3+1,4. Kat,138 m²,27 Eylül,23.500 TL,İzmir - Buca - Menderes Mh.
Daire,4+1,Yüksek giriş,160 m²,27 Eylül,15.000 TL,İzmir - Torbalı - Atatürk Mh.
Daire,3+1,1. Kat,140 m²,4 Ekim,15.000 TL,İzmir - Karabağlar - Karabağlar Mh.
Daire,1+1,Çatı katı,65 m²,27 Eylül,12.000 TL,İzmir - Menderes - Çukuraltı Mh.
Müstakil Ev,1+1,,60 m²,27 Eylül,2.500 TL,İzmir - Menderes - Gümüldür Fevzi Çakmak Mh.
Daire,1+1,Düz Giriş (Zemin),55 m²,27 Eylül,2.000 TL,İzmir - Menderes - Çukuraltı Mh.
Daire,1+1,2. Kat,55 m²,27 Eylül,13.500 TL,İzmir - Menderes - Çukuraltı Mh.
Daire,2+1,2. Kat,70 m²,7 Ekim,16.000 TL,İzmir - Menderes - Çukuraltı Mh.
Daire,3+1,2. Kat,120 m²,9 Ekim,15.000 TL,İzmir - Bayraklı - Osmangazi Mh.
Daire,2+1,1. Kat,90 m²,27 Eylül,15.500 TL,İzmir - Karabağlar - Bozyaka Mh.
Daire,3+1,3. Kat,130 m²,4 Ekim,18.000 TL,İzmir - Karabağlar - Refet Bele Mh.
Daire,3+1,Yüksek giriş,130 m²,26 Eylül,24.000 TL,İzmir - Bayraklı - R. Şevket İnce Mh.
Daire,2+1,2. Kat,120 m²,27 Eylül,12.500 TL,İzmir - Bornova - Zafer Mh.
Daire,3+1,8. Kat,125 m²,5 Ekim,18.000 TL,İzmir - Menemen - 29 Ekim Mh.
Daire,3+1,Kot 1 (-1). Kat,140 m²,2 Ekim,27.000 TL,İzmir - Bayraklı - Mansuroğlu Mh.
Daire,2+1,Yüksek giriş,120 m²,7 Ekim,12.000 TL,İzmir - Gaziemir - Aktepe Mh.
Daire,3+1,3. Kat,120 m²,26 Eylül,29.500 TL,İzmir - Karşıyaka - Bahçelievler Mh.
Müstakil Ev,2+1,,90 m²,26 Eylül,8.000 TL,İzmir - Çiğli - Güzeltepe Mh.
Daire,1+1,1. Kat,55 m²,26 Eylül,17.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+1,4. Kat,100 m²,26 Eylül,25.000 TL,İzmir - Bornova - Doğanlar Mh.
Villa,3+1,,140 m²,26 Eylül,70.000 TL,İzmir - Urla - Yağcılar Mh.
Daire,2+1,Yüksek giriş,120 m²,4 Ekim,13.000 TL,İzmir - Bornova - Koşukavak Mh.
Villa,5+1,,340 m²,26 Eylül,93.000 TL,İzmir - Urla - Kuşçular Mh.
Daire,2+1,14. Kat,110 m²,6 Ekim,30.000 TL,İzmir - Bornova - Rafet Paşa Mh.
Daire,3+1,Çatı Dubleks,240 m²,4 Ekim,17.500 TL,İzmir - Torbalı - Ayrancılar Mh.
Daire,1+1,Yüksek giriş,70 m²,26 Eylül,13.500.000 TL,İzmir - Urla - Gülbahçe Mh.
Daire,2+1,2. Kat,110 m²,9 Ekim,11.000 TL,İzmir - Karabağlar - Gazi Mh.
Daire,2+1,Bahçe katı,120 m²,26 Eylül,15.000 TL,İzmir - Bayraklı - R. Şevket İnce Mh.
Daire,2+1,1. Kat,90 m²,26 Eylül,25.000 TL,İzmir - Gaziemir - Irmak Mh.
Daire,2+1,Yüksek giriş,110 m²,26 Eylül,10.000 TL,İzmir - Buca - Göksu Mh.
Daire,Stüdyo,1. Kat,75 m²,8 Ekim,1.000 TL,İzmir - Karşıyaka - Donanmacı Mh.
Daire,3+1,Düz Giriş (Zemin),150 m²,26 Eylül,15.000 TL,İzmir - Konak - Mithatpaşa Mh.
Daire,2+1,3. Kat,110 m²,1 Ekim,26.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,Kot 3 (-3). Kat,120 m²,26 Eylül,17.000 TL,İzmir - Çiğli - Evka - 2 Mh.
Daire,2+1,Düz Giriş (Zemin),70 m²,28 Eylül,18.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+1,4. Kat,95 m²,26 Eylül,27.000 TL,İzmir - Konak - Murat Reis Mh.
Daire,2+1,2. Kat,95 m²,4 Ekim,22.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,3+1,4. Kat,140 m²,4 Ekim,25.000 TL,İzmir - Karşıyaka - Zübeyde Hanım Mh.
Daire,3+1,2. Kat,130 m²,2 Ekim,22.000 TL,İzmir - Konak - Murat Mh.
Residence,1+1,5. Kat,50 m²,26 Eylül,40.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,3+1,4. Kat,150 m²,26 Eylül,18.000 TL,İzmir - Seferihisar - Camikebir Mh.
Daire,2+1,2. Kat,85 m²,4 Ekim,13.500 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,2+1,1. Kat,85 m²,25 Eylül,25.000 TL,İzmir - Çiğli - Esentepe Mh.
Daire,2+1,4. Kat,85 m²,25 Eylül,25.000 TL,İzmir - Çiğli - Esentepe Mh.
Daire,2+1,Yüksek giriş,110 m²,9 Ekim,15.000 TL,İzmir - Bornova - Doğanlar Mh.
Daire,1 Oda,Düz Giriş (Zemin),41 m²,7 Ekim,16.000 TL,İzmir - Foça - Yenibağarası Mh.
Bina,3+1,,125 m²,25 Eylül,19.000 TL,İzmir - Menemen - Gazi Mh.
Daire,2+1,4. Kat,110 m²,8 Ekim,17.000 TL,İzmir - Konak - Murat Reis Mh.
Daire,2+1,2. Kat,110 m²,4 Ekim,13.000 TL,İzmir - Bornova - Ergene Mh.
Daire,3+1,Bahçe katı,125 m²,8 Ekim,28.000 TL,İzmir - Aliağa - Kurtuluş Mh.
Daire,3+1,Çatı Dubleks,108 m²,25 Eylül,24.000 TL,İzmir - Dikili - Çandarlı Mh.
Daire,2+1,Yüksek giriş,95 m²,7 Ekim,27.000 TL,İzmir - Gaziemir - Dokuz Eylül Mh.
Daire,3+1,2. Kat,190 m²,2 Ekim,19.000 TL,İzmir - Bergama - Zafer Mh.
Daire,2+0,4. Kat,55 m²,2 Ekim,15.000 TL,İzmir - Buca - Yaylacık Mh.
Müstakil Ev,3+1,,219 m²,25 Eylül,40.000 TL,İzmir - Güzelbahçe - Çelebi Mh.
Villa,4+1,,235 m²,25 Eylül,60.000 TL,İzmir - Menderes - Kemalpaşa Mh.
Daire,3+1,6. Kat,135 m²,25 Eylül,21.000 TL,İzmir - Karabağlar - Vatan Mh.
Daire,1+1,5. Kat,72 m²,25 Eylül,24.500 TL,İzmir - Bornova - Barbaros Mh.
Daire,3+1,4. Kat,155 m²,8 Ekim,20.000 TL,İzmir - Buca - Mustafa Kemal Mh.
Daire,2+1,2. Kat,80 m²,27 Eylül,22.500 TL,İzmir - Çeşme - Dalyan Mh.
Daire,2+1,3. Kat,75 m²,7 Ekim,15.000 TL,İzmir - Menemen - Zeytinlik Mh.
Daire,1+1,3. Kat,65 m²,25 Eylül,12.000 TL,İzmir - Torbalı - Türkmenköy Mh.
Yazlık,2+1,Bahçe katı,238 m²,2 Ekim,10.000 TL,İzmir - Urla - İskele Mh.
Daire,2+1,2. Kat,80 m²,25 Eylül,25.000 TL,İzmir - Urla - Kuşçular Mh.
Daire,Stüdyo,2. Kat,32 m²,25 Eylül,17.000 TL,İzmir - Urla - Kuşçular Mh.
Daire,2+1,4. Kat,110 m²,25 Eylül,17.500 TL,İzmir - Konak - Murat Reis Mh.
Daire,2+1,1. Kat,85 m²,7 Ekim,17.500 TL,İzmir - Torbalı - Muratbey Mh.
Daire,3+1,3. Kat,145 m²,25 Eylül,21.500 TL,İzmir - Buca - Akıncılar Mh.
Daire,3+1,3. Kat,120 m²,25 Eylül,19.000 TL,İzmir - Buca - Yıldız Mh.
Daire,2+1,1. Kat,110 m²,25 Eylül,21.000 TL,İzmir - Buca - Barış Mh.
Müstakil Ev,1+1,,60 m²,25 Eylül,10.000 TL,İzmir - Gaziemir - Gazi Mh.
Daire,3+1,2. Kat,150 m²,25 Eylül,28.500 TL,İzmir - Buca - Buca Koop. Mh.
Daire,2+1,3. Kat,100 m²,25 Eylül,18.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,3+1,Bahçe katı,110 m²,10 Ekim,20.000 TL,İzmir - Bornova - İnönü Mh.
Daire,4+1,5. Kat,250 m²,2 Ekim,62.000 TL,İzmir - Buca - Menderes Mh.
Daire,3+1,3. Kat,150 m²,25 Eylül,12.500 TL,İzmir - Gaziemir - Aktepe Mh.
Daire,3+1,Yüksek giriş,120 m²,25 Eylül,20.000 TL,İzmir - Bayraklı - Manavkuyu Mh.
Daire,3+1,2. Kat,105 m²,25 Eylül,33.000 TL,İzmir - Karşıyaka - Donanmacı Mh.
Daire,2+1,Yüksek giriş,110 m²,4 Ekim,15.000 TL,İzmir - Torbalı - Ayrancılar Mh.
Daire,3+1,2. Kat,150 m²,4 Ekim,18.000 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,3+1,2. Kat,130 m²,27 Eylül,16.000 TL,İzmir - Torbalı - Bahçelievler Mh.
Daire,3+1,2. Kat,135 m²,27 Eylül,18.200 TL,İzmir - Torbalı - Ayrancılar Mh.
Daire,4+1,4. Kat,145 m²,4 Ekim,22.000 TL,İzmir - Aliağa - Yeni Mh.
Daire,3+1,3. Kat,125 m²,25 Eylül,19.500 TL,İzmir - Karabağlar - Doğanay Mh.
Daire,2+1,3. Kat,110 m²,26 Eylül,30.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,1+1,2. Kat,100 m²,1 Ekim,29.999 TL,İzmir - Urla - Güvendik Mh.
Daire,2+1,1. Kat,85 m²,4 Ekim,12.000 TL,İzmir - Aliağa - Yeni Mh.
Daire,2+1,2. Kat,135 m²,25 Eylül,16.000 TL,İzmir - Urla - Kadıovacık Mh.
Daire,2+1,Yüksek giriş,1100 m²,9 Ekim,16.000 TL,İzmir - Çiğli - Ataşehir Mh.
Daire,3+1,3. Kat,135 m²,2 Ekim,14.000 TL,İzmir - Bergama - Bahçelievler Mh.
Daire,1+1,6. Kat,76 m²,7 Ekim,22.000 TL,İzmir - Menemen - İstiklal Mh.
Daire,1+1,1. Kat,62 m²,7 Ekim,17.000 TL,İzmir - Karşıyaka - Zübeyde Hanım Mh.
Daire,3+1,2. Kat,125 m²,25 Eylül,27.000 TL,İzmir - Menderes - Gölcükler Mh.
Daire,3+1,2. Kat,115 m²,3 Ekim,25.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,2+1,4. Kat,90 m²,7 Ekim,22.000 TL,İzmir - Konak - Güzelyalı Mh.
Daire,3+1,1. Kat,110 m²,7 Ekim,18.000 TL,İzmir - Konak - Göztepe Mh.
Daire,3+1,7. Kat,130 m²,7 Ekim,32.500 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,3+1,3. Kat,170 m²,25 Eylül,70.000 TL,İzmir - Gaziemir - Gazi Mh.
Daire,2+1,Kot 1 (-1). Kat,100 m²,25 Eylül,12.500 TL,İzmir - Konak - Barbaros Mh.
Daire,4+1,Çatı Dubleks,160 m²,8 Ekim,17.000 TL,İzmir - Torbalı - Ayrancılar Mh.
Daire,2+1,1. Kat,72 m²,8 Ekim,27.500 TL,İzmir - Bornova - Erzene Mh.
Daire,2+1,4. Kat,80 m²,8 Ekim,23.000 TL,İzmir - Bayraklı - Mansuroğlu Mh.
Daire,3+1,3. Kat,125 m²,25 Eylül,21.000 TL,İzmir - Aliağa - Kazım Dirik Mh.
Daire,3+1,4. Kat,135 m²,25 Eylül,17.500 TL,İzmir - Bergama - Maltepe Mh.
Daire,3+1,2. Kat,135 m²,24 Eylül,23.000 TL,İzmir - Menemen - Mermerli Mh.
Daire,3+1,2. Kat,110 m²,24 Eylül,28.000 TL,İzmir - Bayraklı - Manavkuyu Mh.
Daire,3+1,Düz Giriş (Zemin),120 m²,24 Eylül,20.000 TL,İzmir - Karaburun - Merkez Mh.
Daire,1+1,Yüksek giriş,65 m²,24 Eylül,11.000 TL,İzmir - Bergama - Fatih Mh.
Daire,2+1,2. Kat,120 m²,24 Eylül,14.000 TL,İzmir - Konak - Fatih Mh.
Daire,2+1,2. Kat,100 m²,9 Ekim,18.000 TL,İzmir - Konak - Atilla Mh.
Daire,3+1,Bahçe katı,150 m²,24 Eylül,15.000 TL,İzmir - Bayraklı - Osmangazi Mh.
Daire,2+1,Bahçe katı,85 m²,24 Eylül,25.000 TL,İzmir - Torbalı - Yedi Eylül Mh.
Daire,3+1,4. Kat,115 m²,24 Eylül,16.000 TL,İzmir - Karabağlar - Doğanay Mh.
Daire,3+1,2. Kat,150 m²,5 Ekim,30.000 TL,İzmir - Aliağa - Siteler Mh.
Daire,3+1,3. Kat,132 m²,5 Ekim,26.000 TL,İzmir - Menemen - Kemal Atatürk Mh.
Daire,3+1,3. Kat,180 m²,9 Ekim,38.000 TL,İzmir - Gaziemir - Irmak Mh.
Daire,3+1,4. Kat,130 m²,4 Ekim,18.000 TL,İzmir - Karabağlar - Gülyaka Mh.
Daire,3+1,7. Kat,140 m²,4 Ekim,17.000 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,3+1,2. Kat,140 m²,24 Eylül,38.000 TL,İzmir - Bornova - Erzene Mh.
Daire,2+1,1. Kat,100 m²,8 Ekim,8.500 TL,İzmir - Konak - Zafertepe Mh.
Daire,3+1,2. Kat,130 m²,8 Ekim,27.500 TL,İzmir - Karabağlar - Fahrettin Altay Mh.
Daire,2+1,2. Kat,110 m²,24 Eylül,50.000 TL,İzmir - Aliağa - Yenişakran Mh.
Daire,3+1,3. Kat,150 m²,26 Eylül,35.000 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,2+1,2. Kat,90 m²,4 Ekim,15.000 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,3+1,1. Kat,120 m²,5 Ekim,20.000 TL,İzmir - Karabağlar - Sarıyer Mh.
Daire,3+1,Müstakil,250 m²,4 Ekim,35.000 TL,İzmir - Torbalı - İnönü Mh.
Daire,2.5+1,2. Kat,95 m²,24 Eylül,25.000 TL,İzmir - Konak - Kahramanlar Mh.
Daire,2+1,1. Kat,100 m²,8 Ekim,20.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,2. Kat,130 m²,7 Ekim,23.000 TL,İzmir - Buca - Ufuk Mh.
Daire,2+1,Yüksek giriş,80 m²,7 Ekim,20.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,1+1,2. Kat,50 m²,24 Eylül,20.000 TL,İzmir - Buca - Çamlıkule Mh.
Daire,2+1,8. Kat,90 m²,27 Eylül,11.000 TL,İzmir - Torbalı - Bahçelievler Mh.
Müstakil Ev,5+1,,180 m²,24 Eylül,40.000 TL,İzmir - Urla - Güvendik Mh.
Müstakil Ev,1+1,,75 m²,9 Ekim,7.000 TL,İzmir - Karabağlar - Yunus Emre Mh.
Daire,1+1,2. Kat,60 m²,24 Eylül,13.000 TL,İzmir - Torbalı - Tepeköy Mh.
Daire,3+1,3. Kat,130 m²,2 Ekim,28.000 TL,İzmir - Bornova - Kazımdirik Mh.
Müstakil Ev,3+1,,120 m²,24 Eylül,60.000 TL,İzmir - Urla - Denizli Mh.
Daire,4+1,1. Kat,160 m²,9 Ekim,30.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,2+1,1. Kat,90 m²,7 Ekim,10.000 TL,İzmir - Bayraklı - Gümüşpala Mh.
Daire,2+1,2. Kat,75 m²,24 Eylül,16.000 TL,İzmir - Konak - Alsancak Mh.
Daire,3+1,2. Kat,130 m²,9 Ekim,17.000 TL,İzmir - Menemen - Esatpaşa Mh.
Daire,1+1,Kot 1 (-1). Kat,95 m²,24 Eylül,10.000 TL,İzmir - Karabağlar - Peker Mh.
Daire,3+1,Kot 1 (-1). Kat,110 m²,9 Ekim,25.000 TL,İzmir - Karabağlar - Üçkuyular Mh.
Daire,3+1,6. Kat,130 m²,30 Eylül,19.000 TL,İzmir - Menemen - Zeytinlik Mh.
Daire,3+1,2. Kat,129 m²,25 Eylül,15.000 TL,İzmir - Bayraklı - Çay Mh.
Daire,2+1,2. Kat,110 m²,28 Eylül,28.000 TL,İzmir - Menderes - Kasımpaşa Mh.
Daire,2+1,2. Kat,85 m²,24 Eylül,14.000 TL,İzmir - Bayraklı - Bayraklı Mh.
Daire,3+1,2. Kat,130 m²,9 Ekim,27.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,2. Kat,130 m²,23 Eylül,20.000 TL,İzmir - Bayraklı - Adalet Mh.
Daire,3+1,3. Kat,135 m²,8 Ekim,35.000 TL,İzmir - Bayraklı - Cengizhan Mh.
Daire,2+1,2. Kat,120 m²,8 Ekim,45.000 TL,İzmir - Karşıyaka - Bostanlı Mh.
Daire,1+1,Düz Giriş (Zemin),70 m²,23 Eylül,9.000 TL,İzmir - Karşıyaka - Cumhuriyet Mh.
Daire,2+1,2. Kat,90 m²,23 Eylül,15.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,2+1,1. Kat,110 m²,23 Eylül,29.000 TL,İzmir - Gaziemir - Dokuz Eylül Mh.
Daire,1+1,1. Kat,100 m²,24 Eylül,20.000 TL,İzmir - Çeşme - Ardıç Mh.
Daire,3+1,2. Kat,110 m²,23 Eylül,35.000 TL,İzmir - Çeşme - İsmet İnönü Mh.
Daire,3+1,Çatı katı,140 m²,23 Eylül,35.000 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,4+1,3. Kat,235 m²,23 Eylül,70.000 TL,İzmir - Bornova - Erzene Mh.
Daire,3+1,2. Kat,120 m²,9 Ekim,21.000 TL,İzmir - Karabağlar - Gülyaka Mh.
Daire,3+1,4. Kat,130 m²,25 Eylül,25.000 TL,İzmir - Menemen - Mermerli Mh.
Daire,3+1,Yüksek giriş,120 m²,23 Eylül,24.000 TL,İzmir - Çiğli - Yeni Mahalle Mh.
Daire,4+1,4. Kat,165 m²,28 Eylül,17.000 TL,İzmir - Karabağlar - Bahar Mh.
Daire,2+1,2. Kat,110 m²,23 Eylül,19.000 TL,İzmir - Torbalı - Muratbey Mh.
Daire,3+1,4. Kat,125 m²,25 Eylül,13.500 TL,İzmir - Torbalı - Ertuğrul Mh.
Daire,1+1,2. Kat,55 m²,27 Eylül,11.500 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,1. Kat,120 m²,23 Eylül,22.500 TL,İzmir - Buca - Akıncılar Mh.
Daire,3+1,2. Kat,120 m²,23 Eylül,15.000 TL,İzmir - Karabağlar - Kazım Karabekir Mh.
Daire,1+1,Yüksek giriş,55 m²,9 Ekim,15.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,9. Kat,160 m²,23 Eylül,30.000 TL,İzmir - Menemen - 9 Eylül Mh.
Daire,3+1,1. Kat,135 m²,23 Eylül,25.000 TL,İzmir - Balçova - Fevzi Çakmak Mh.
Daire,1+1,4. Kat,75 m²,24 Eylül,20.000 TL,İzmir - Buca - Adatepe Mh.
Yazlık,3+1,Villa tipi,150 m²,23 Eylül,25.000 TL,İzmir - Seferihisar - Atatürk Mh.
Daire,3+1,3. Kat,120 m²,9 Ekim,25.000 TL,İzmir - Konak - Zafertepe Mh.
Bina,4+2,,112 m²,23 Eylül,2.000.000 TL,İzmir - Konak - Aziziye Mh.
Daire,3+1,2. Kat,130 m²,22 Eylül,18.000 TL,İzmir - Buca - Barış Mh.
Daire,2+1,3. Kat,90 m²,22 Eylül,20.000 TL,İzmir - Buca - Buca Koop. Mh.
Daire,2+1,Bahçe katı,85 m²,23 Eylül,25.000 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,3+1,2. Kat,140 m²,23 Eylül,26.000 TL,İzmir - Kemalpaşa - Sekiz Eylül Mh.
Daire,2+1,Kot 3 (-3). Kat,100 m²,22 Eylül,15.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,3+1,4. Kat,135 m²,6 Ekim,25.000 TL,İzmir - Balçova - Korutürk Mh.
Villa,3+1,,145 m²,22 Eylül,55.000 TL,İzmir - Güzelbahçe - Kahramandere Mh.
Residence,1+1,3. Kat,60 m²,27 Eylül,25.000 TL,İzmir - Çeşme - İsmet İnönü Mh.
Daire,1+1,Kot 1 (-1). Kat,55 m²,4 Ekim,13.500 TL,İzmir - Buca - Yaylacık Mh.
