category,room,floor,gross,updated,price,location
Daire,3+1,3. Kat,136 m²,7 Ekim,20.000 TL,İzmir - Karabağlar - Tahsin Yazıcı Mh.
Daire,3+1,Kot 3 (-3). Kat,130 m²,7 Ekim,30.000 TL,İzmir - Aliağa - Kültür Mh.
Daire,3+1,2. Kat,135 m²,7 Ekim,13.000 TL,İzmir - Bergama - Gaziosmanpaşa Mh.
Daire,1+1,Yüksek giriş,65 m²,7 Ekim,27.500 TL,İzmir - Çeşme - İsmet İnönü Mh.
Daire,2+1,Kot 4 (-4). Kat,85 m²,7 Ekim,25.000 TL,İzmir - Aliağa - Kültür Mh.
Daire,2+1,3. Kat,100 m²,7 Ekim,13.000 TL,İzmir - Çiğli - Evka-5 Mh.
Daire,3+1,2. Kat,130 m²,9 Ekim,22.000 TL,İzmir - Buca - Ufuk Mh.
Daire,2+1,3. Kat,75 m²,7 Ekim,15.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,3+1,3. Kat,110 m²,7 Ekim,15.000 TL,İzmir - Karabağlar - Bahçelievler Mh.
Daire,2+1,1. Kat,80 m²,9 Ekim,15.000 TL,İzmir - Bergama - Fatih Mh.
Daire,4+1,Bahçe katı,180 m²,7 Ekim,17.000 TL,İzmir - Torbalı - Torbalı Mh.
Daire,3+1,2. Kat,115 m²,7 Ekim,4.150.000 TL,İzmir - Bergama - İslamsaray Mh.
Daire,1+1,Düz Giriş (Zemin),64 m²,7 Ekim,17.000 TL,İzmir - Bornova - İnönü Mh.
Daire,3+1,3. Kat,130 m²,7 Ekim,25.000 TL,İzmir - Bornova - İnönü Mh.
Daire,2+0,8. Kat,100 m²,7 Ekim,26.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,3+1,3. Kat,145 m²,7 Ekim,33.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,Stüdyo,Yüksek giriş,40 m²,7 Ekim,13.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,2+1,2. Kat,110 m²,7 Ekim,19.000 TL,İzmir - Bayraklı - Onur Mh.
Daire,Stüdyo,Yüksek giriş,45 m²,7 Ekim,13.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,1+1,2. Kat,55 m²,7 Ekim,25.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,3. Kat,100 m²,7 Ekim,20.000 TL,İzmir - Çiğli - Evka-5 Mh.
